visitation_id,resident_id,visit_date,social_worker,visit_type,location_visited,family_members_present,purpose,observations,family_cooperation_level,safety_concerns_noted,follow_up_needed,follow_up_notes,visit_outcome
3197,141,2024-06-29,SW-07,Post-Placement Monitoring,Church,Garcia (Parent); Diaz (Sibling),Visitation for post-placement monitoring,Visit observations recorded during post-placement monitoring.,Uncooperative,True,True,,Needs Improvement
3198,141,2024-07-08,SW-20,Routine Follow-Up,School,Flores (Parent); Flores (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,True,False,Follow-up scheduled,Inconclusive
3199,141,2024-07-10,SW-03,Reintegration Assessment,School,Lopez (Parent); Torres (Sibling),Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Highly Cooperative,False,False,,Favorable
3200,141,2024-09-19,SW-09,Routine Follow-Up,Proposed Foster Home,Diaz (Parent); Mendoza (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Highly Cooperative,False,False,,Favorable
3201,141,2024-10-24,SW-18,Reintegration Assessment,Proposed Foster Home,None,Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Cooperative,False,False,Follow-up scheduled,Favorable
3202,141,2024-10-25,SW-02,Routine Follow-Up,School,Mendoza (Parent); Santos (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Neutral,True,True,Follow-up scheduled,Unfavorable
3203,141,2024-12-19,SW-02,Post-Placement Monitoring,Family Home,None,Visitation for post-placement monitoring,Visit observations recorded during post-placement monitoring.,Neutral,False,True,,Unfavorable
3204,141,2025-01-06,SW-20,Routine Follow-Up,Community Center,Santos (Parent); Reyes (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Uncooperative,False,False,,Favorable
3205,141,2025-01-12,SW-08,Initial Assessment,Family Home,None,Visitation for initial assessment,Visit observations recorded during initial assessment.,Neutral,False,True,Follow-up scheduled,Needs Improvement
3206,141,2025-02-08,SW-09,Initial Assessment,Family Home,Torres (Parent); Santos (Sibling),Visitation for initial assessment,Visit observations recorded during initial assessment.,Cooperative,False,False,Follow-up scheduled,Favorable
3207,141,2025-02-08,SW-05,Post-Placement Monitoring,Community Center,None,Visitation for post-placement monitoring,Visit observations recorded during post-placement monitoring.,Neutral,True,True,Follow-up scheduled,Needs Improvement
3208,141,2025-04-01,SW-12,Reintegration Assessment,Proposed Foster Home,Diaz (Parent); Reyes (Sibling),Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Uncooperative,True,True,,Needs Improvement
3209,141,2025-05-01,SW-14,Routine Follow-Up,Community Center,Flores (Parent); Cruz (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Highly Cooperative,False,False,Follow-up scheduled,Favorable
3210,141,2025-05-05,SW-17,Post-Placement Monitoring,Family Home,None,Visitation for post-placement monitoring,Visit observations recorded during post-placement monitoring.,Highly Cooperative,False,True,,Needs Improvement
3211,141,2025-05-10,SW-06,Post-Placement Monitoring,Proposed Foster Home,Reyes (Parent); Lopez (Sibling),Visitation for post-placement monitoring,Visit observations recorded during post-placement monitoring.,Highly Cooperative,False,False,Follow-up scheduled,Favorable
3212,141,2025-06-02,SW-09,Routine Follow-Up,Church,None,Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Uncooperative,False,False,Follow-up scheduled,Favorable
3213,141,2025-06-03,SW-03,Routine Follow-Up,School,Santos (Parent); Torres (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Highly Cooperative,False,False,Follow-up scheduled,Inconclusive
3214,141,2025-06-18,SW-06,Emergency,Proposed Foster Home,Torres (Parent); Torres (Sibling),Visitation for emergency,Visit observations recorded during emergency.,Cooperative,True,False,,Favorable
3215,141,2025-08-15,SW-08,Routine Follow-Up,Community Center,None,Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Uncooperative,False,False,Follow-up scheduled,Inconclusive
3216,141,2025-08-26,SW-01,Post-Placement Monitoring,Barangay Office,Diaz (Parent); Reyes (Sibling),Visitation for post-placement monitoring,Visit observations recorded during post-placement monitoring.,Cooperative,False,False,Follow-up scheduled,Favorable
3217,141,2025-09-17,SW-20,Post-Placement Monitoring,Church,None,Visitation for post-placement monitoring,Visit observations recorded during post-placement monitoring.,Cooperative,True,True,,Needs Improvement
3218,141,2025-11-14,SW-02,Post-Placement Monitoring,School,Reyes (Parent); Reyes (Sibling),Visitation for post-placement monitoring,Visit observations recorded during post-placement monitoring.,Cooperative,False,False,Follow-up scheduled,Favorable
3219,141,2025-11-27,SW-15,Post-Placement Monitoring,Proposed Foster Home,Mendoza (Parent); Diaz (Sibling),Visitation for post-placement monitoring,Visit observations recorded during post-placement monitoring.,Cooperative,False,True,,Needs Improvement
3220,141,2026-01-01,SW-08,Initial Assessment,Community Center,Torres (Parent); Torres (Sibling),Visitation for initial assessment,Visit observations recorded during initial assessment.,Highly Cooperative,False,False,Follow-up scheduled,Favorable
3221,141,2026-01-09,SW-06,Routine Follow-Up,Barangay Office,Rivera (Parent); Santos (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,False,True,Follow-up scheduled,Unfavorable
3222,141,2026-02-15,SW-05,Routine Follow-Up,Church,None,Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Highly Cooperative,True,True,Follow-up scheduled,Needs Improvement
3223,141,2026-02-20,SW-13,Post-Placement Monitoring,Proposed Foster Home,None,Visitation for post-placement monitoring,Visit observations recorded during post-placement monitoring.,Cooperative,False,True,Follow-up scheduled,Needs Improvement
3224,142,2023-05-17,SW-09,Routine Follow-Up,Proposed Foster Home,None,Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Neutral,True,False,Follow-up scheduled,Favorable
3225,142,2023-07-13,SW-09,Initial Assessment,School,Garcia (Parent); Lopez (Sibling),Visitation for initial assessment,Visit observations recorded during initial assessment.,Uncooperative,False,False,,Favorable
3226,142,2023-07-25,SW-10,Routine Follow-Up,Barangay Office,Cruz (Parent); Lopez (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Highly Cooperative,False,True,,Needs Improvement
3227,142,2023-10-10,SW-08,Initial Assessment,Community Center,Rivera (Parent); Lopez (Sibling),Visitation for initial assessment,Visit observations recorded during initial assessment.,Neutral,False,False,Follow-up scheduled,Favorable
3228,142,2023-11-03,SW-05,Routine Follow-Up,Barangay Office,None,Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Uncooperative,False,False,,Favorable
3229,142,2023-11-04,SW-14,Initial Assessment,Proposed Foster Home,Diaz (Parent); Flores (Sibling),Visitation for initial assessment,Visit observations recorded during initial assessment.,Highly Cooperative,False,True,Follow-up scheduled,Unfavorable
3230,142,2024-01-03,SW-17,Initial Assessment,Community Center,None,Visitation for initial assessment,Visit observations recorded during initial assessment.,Cooperative,True,True,,Needs Improvement
3231,142,2024-01-13,SW-08,Routine Follow-Up,Church,None,Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Highly Cooperative,False,False,Follow-up scheduled,Favorable
3232,142,2024-02-09,SW-13,Reintegration Assessment,Proposed Foster Home,Torres (Parent); Cruz (Sibling),Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Highly Cooperative,False,False,,Favorable
3233,142,2024-02-09,SW-02,Initial Assessment,School,Flores (Parent); Rivera (Sibling),Visitation for initial assessment,Visit observations recorded during initial assessment.,Uncooperative,True,True,Follow-up scheduled,Needs Improvement
3234,142,2024-03-06,SW-03,Routine Follow-Up,School,Lopez (Parent); Mendoza (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Highly Cooperative,False,False,Follow-up scheduled,Favorable
3235,142,2024-03-07,SW-11,Routine Follow-Up,School,Reyes (Parent); Cruz (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,False,False,Follow-up scheduled,Inconclusive
3236,142,2024-04-10,SW-16,Initial Assessment,Family Home,Torres (Parent); Santos (Sibling),Visitation for initial assessment,Visit observations recorded during initial assessment.,Cooperative,False,False,Follow-up scheduled,Favorable
3237,142,2024-04-17,SW-09,Initial Assessment,Family Home,None,Visitation for initial assessment,Visit observations recorded during initial assessment.,Highly Cooperative,False,False,Follow-up scheduled,Favorable
3238,142,2024-06-20,SW-18,Initial Assessment,Community Center,Flores (Parent); Reyes (Sibling),Visitation for initial assessment,Visit observations recorded during initial assessment.,Cooperative,False,False,,Favorable
3239,142,2024-06-23,SW-13,Initial Assessment,Family Home,Garcia (Parent); Rivera (Sibling),Visitation for initial assessment,Visit observations recorded during initial assessment.,Cooperative,False,True,Follow-up scheduled,Needs Improvement
3240,142,2024-06-29,SW-01,Routine Follow-Up,Community Center,None,Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,False,True,Follow-up scheduled,Needs Improvement
3241,142,2024-09-14,SW-01,Reintegration Assessment,Family Home,None,Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Cooperative,False,False,Follow-up scheduled,Inconclusive
3242,142,2024-10-13,SW-03,Routine Follow-Up,Family Home,Reyes (Parent); Santos (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Highly Cooperative,False,False,Follow-up scheduled,Inconclusive
3243,142,2024-10-13,SW-19,Routine Follow-Up,Family Home,None,Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Highly Cooperative,False,True,,Needs Improvement
3244,142,2024-10-31,SW-01,Routine Follow-Up,Community Center,None,Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Uncooperative,False,False,,Favorable
3245,142,2024-11-03,SW-07,Routine Follow-Up,School,Diaz (Parent); Santos (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,False,False,Follow-up scheduled,Favorable
3246,142,2024-11-19,SW-20,Initial Assessment,Barangay Office,Cruz (Parent); Rivera (Sibling),Visitation for initial assessment,Visit observations recorded during initial assessment.,Cooperative,False,False,,Inconclusive
3247,143,2023-03-05,SW-05,Reintegration Assessment,Church,Lopez (Parent); Reyes (Sibling),Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Highly Cooperative,False,False,Follow-up scheduled,Favorable
3248,143,2023-03-27,SW-03,Routine Follow-Up,Barangay Office,Lopez (Parent); Santos (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,False,True,Follow-up scheduled,Needs Improvement
3249,143,2023-04-03,SW-11,Routine Follow-Up,Family Home,None,Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Neutral,False,False,Follow-up scheduled,Favorable
3250,143,2023-04-21,SW-09,Reintegration Assessment,Community Center,None,Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Cooperative,False,True,,Needs Improvement
3251,143,2023-04-25,SW-13,Routine Follow-Up,Barangay Office,None,Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Uncooperative,False,False,,Inconclusive
3252,143,2023-05-09,SW-07,Routine Follow-Up,Barangay Office,Rivera (Parent); Reyes (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,False,False,Follow-up scheduled,Inconclusive
3253,143,2023-07-25,SW-08,Reintegration Assessment,Proposed Foster Home,None,Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Highly Cooperative,True,True,Follow-up scheduled,Unfavorable
3254,143,2023-07-29,SW-02,Post-Placement Monitoring,Proposed Foster Home,None,Visitation for post-placement monitoring,Visit observations recorded during post-placement monitoring.,Neutral,False,True,Follow-up scheduled,Needs Improvement
3255,143,2023-07-29,SW-05,Reintegration Assessment,Family Home,None,Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Neutral,False,True,Follow-up scheduled,Needs Improvement
3256,143,2023-09-15,SW-16,Routine Follow-Up,Family Home,Santos (Parent); Mendoza (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,False,False,Follow-up scheduled,Favorable
3257,143,2023-09-21,SW-20,Routine Follow-Up,Community Center,Mendoza (Parent); Reyes (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Highly Cooperative,False,True,Follow-up scheduled,Needs Improvement
3258,143,2023-10-06,SW-17,Emergency,Church,None,Visitation for emergency,Visit observations recorded during emergency.,Highly Cooperative,True,True,Follow-up scheduled,Unfavorable
3259,143,2023-10-14,SW-09,Reintegration Assessment,Proposed Foster Home,None,Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Neutral,False,True,Follow-up scheduled,Needs Improvement
3260,143,2023-10-19,SW-08,Reintegration Assessment,Proposed Foster Home,None,Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Uncooperative,False,False,,Inconclusive
3261,143,2024-01-01,SW-19,Routine Follow-Up,Proposed Foster Home,Diaz (Parent); Flores (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,False,False,Follow-up scheduled,Favorable
3262,143,2024-01-17,SW-06,Initial Assessment,Church,Mendoza (Parent); Santos (Sibling),Visitation for initial assessment,Visit observations recorded during initial assessment.,Highly Cooperative,False,False,,Favorable
3263,143,2024-02-18,SW-19,Reintegration Assessment,School,Rivera (Parent); Lopez (Sibling),Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Cooperative,True,True,Follow-up scheduled,Unfavorable
3264,143,2024-03-17,SW-09,Reintegration Assessment,Family Home,None,Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Cooperative,False,False,,Inconclusive
3265,143,2024-05-15,SW-03,Reintegration Assessment,Community Center,None,Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Cooperative,False,True,Follow-up scheduled,Needs Improvement
3266,143,2024-05-26,SW-11,Routine Follow-Up,School,Garcia (Parent); Rivera (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Highly Cooperative,False,True,,Unfavorable
3267,143,2024-06-02,SW-18,Routine Follow-Up,School,Flores (Parent); Reyes (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Highly Cooperative,False,True,,Unfavorable
3268,143,2024-07-17,SW-06,Post-Placement Monitoring,Barangay Office,Rivera (Parent); Torres (Sibling),Visitation for post-placement monitoring,Visit observations recorded during post-placement monitoring.,Cooperative,False,False,,Favorable
3269,143,2024-08-28,SW-12,Routine Follow-Up,Barangay Office,Torres (Parent); Santos (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,True,False,,Inconclusive
3270,144,2025-01-03,SW-04,Routine Follow-Up,School,Mendoza (Parent); Diaz (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Neutral,True,False,Follow-up scheduled,Favorable
3271,144,2025-04-18,SW-13,Post-Placement Monitoring,Community Center,Garcia (Parent); Diaz (Sibling),Visitation for post-placement monitoring,Visit observations recorded during post-placement monitoring.,Uncooperative,False,False,,Favorable
3272,144,2025-04-25,SW-14,Routine Follow-Up,Barangay Office,Mendoza (Parent); Diaz (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Highly Cooperative,False,False,Follow-up scheduled,Favorable
3273,144,2025-05-30,SW-03,Routine Follow-Up,School,Lopez (Parent); Flores (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,False,False,Follow-up scheduled,Favorable
3274,144,2025-06-07,SW-07,Routine Follow-Up,Barangay Office,Diaz (Parent); Torres (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,False,False,,Favorable
3275,144,2025-06-16,SW-08,Routine Follow-Up,Proposed Foster Home,Santos (Parent); Flores (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,False,False,,Inconclusive
3276,144,2025-06-25,SW-09,Initial Assessment,Church,Mendoza (Parent); Santos (Sibling),Visitation for initial assessment,Visit observations recorded during initial assessment.,Cooperative,False,False,Follow-up scheduled,Favorable
3277,144,2025-08-12,SW-07,Routine Follow-Up,Family Home,Torres (Parent); Santos (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,False,False,Follow-up scheduled,Favorable
3278,144,2025-10-23,SW-16,Reintegration Assessment,Barangay Office,None,Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Uncooperative,False,False,,Inconclusive
3279,144,2025-10-27,SW-12,Emergency,Church,Mendoza (Parent); Rivera (Sibling),Visitation for emergency,Visit observations recorded during emergency.,Cooperative,True,False,Follow-up scheduled,Inconclusive
3280,144,2025-11-15,SW-05,Routine Follow-Up,Community Center,Reyes (Parent); Santos (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Highly Cooperative,False,True,Follow-up scheduled,Unfavorable
3281,144,2026-01-06,SW-11,Post-Placement Monitoring,Community Center,None,Visitation for post-placement monitoring,Visit observations recorded during post-placement monitoring.,Highly Cooperative,False,True,Follow-up scheduled,Unfavorable
3282,145,2023-07-15,SW-09,Routine Follow-Up,School,Flores (Parent); Flores (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Neutral,False,True,Follow-up scheduled,Needs Improvement
3283,145,2023-07-29,SW-18,Routine Follow-Up,Church,Torres (Parent); Reyes (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Neutral,False,True,,Needs Improvement
3284,145,2023-08-13,SW-15,Routine Follow-Up,Barangay Office,Garcia (Parent); Torres (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,False,False,Follow-up scheduled,Favorable
3285,145,2023-09-11,SW-20,Routine Follow-Up,Proposed Foster Home,None,Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Neutral,True,False,Follow-up scheduled,Inconclusive
3286,145,2023-09-16,SW-11,Routine Follow-Up,Community Center,Rivera (Parent); Torres (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Neutral,False,True,Follow-up scheduled,Needs Improvement
3287,145,2023-09-16,SW-15,Post-Placement Monitoring,Community Center,None,Visitation for post-placement monitoring,Visit observations recorded during post-placement monitoring.,Cooperative,False,True,,Needs Improvement
3288,145,2023-09-24,SW-03,Post-Placement Monitoring,Barangay Office,Lopez (Parent); Diaz (Sibling),Visitation for post-placement monitoring,Visit observations recorded during post-placement monitoring.,Uncooperative,False,False,Follow-up scheduled,Inconclusive
3289,145,2023-09-27,SW-15,Routine Follow-Up,Community Center,Mendoza (Parent); Santos (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,True,True,Follow-up scheduled,Needs Improvement
3290,145,2023-09-29,SW-05,Routine Follow-Up,Barangay Office,None,Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Neutral,True,False,Follow-up scheduled,Favorable
3291,145,2023-10-10,SW-01,Initial Assessment,Proposed Foster Home,Torres (Parent); Mendoza (Sibling),Visitation for initial assessment,Visit observations recorded during initial assessment.,Neutral,False,False,Follow-up scheduled,Favorable
3292,145,2023-10-15,SW-06,Routine Follow-Up,Proposed Foster Home,Rivera (Parent); Torres (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Neutral,False,True,Follow-up scheduled,Needs Improvement
3293,145,2023-10-17,SW-19,Routine Follow-Up,Community Center,Santos (Parent); Torres (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Neutral,False,True,Follow-up scheduled,Needs Improvement
3294,145,2023-11-03,SW-19,Routine Follow-Up,School,None,Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Neutral,False,False,Follow-up scheduled,Favorable
3295,145,2023-11-11,SW-05,Initial Assessment,Proposed Foster Home,Reyes (Parent); Santos (Sibling),Visitation for initial assessment,Visit observations recorded during initial assessment.,Highly Cooperative,False,False,Follow-up scheduled,Favorable
3296,145,2023-11-18,SW-13,Routine Follow-Up,Community Center,Diaz (Parent); Cruz (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Neutral,False,False,Follow-up scheduled,Favorable
3297,145,2023-12-12,SW-01,Post-Placement Monitoring,Barangay Office,Garcia (Parent); Cruz (Sibling),Visitation for post-placement monitoring,Visit observations recorded during post-placement monitoring.,Highly Cooperative,False,True,Follow-up scheduled,Needs Improvement
3298,145,2023-12-21,SW-18,Routine Follow-Up,Church,None,Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Uncooperative,False,False,,Favorable
3299,145,2024-01-11,SW-19,Reintegration Assessment,Barangay Office,Lopez (Parent); Torres (Sibling),Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Cooperative,True,False,,Favorable
3300,145,2024-02-14,SW-17,Initial Assessment,Community Center,Reyes (Parent); Lopez (Sibling),Visitation for initial assessment,Visit observations recorded during initial assessment.,Uncooperative,False,False,,Favorable
3301,145,2024-03-15,SW-10,Initial Assessment,Family Home,Torres (Parent); Cruz (Sibling),Visitation for initial assessment,Visit observations recorded during initial assessment.,Neutral,False,True,,Needs Improvement
3302,145,2024-04-10,SW-08,Reintegration Assessment,School,Rivera (Parent); Diaz (Sibling),Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Cooperative,False,False,,Inconclusive
3303,145,2024-04-11,SW-19,Routine Follow-Up,Family Home,Cruz (Parent); Santos (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,True,False,,Inconclusive
3304,145,2024-04-19,SW-02,Routine Follow-Up,Family Home,Santos (Parent); Cruz (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Uncooperative,True,True,Follow-up scheduled,Needs Improvement
3305,145,2024-05-02,SW-18,Routine Follow-Up,Proposed Foster Home,Garcia (Parent); Torres (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,False,False,Follow-up scheduled,Favorable
3306,145,2024-06-25,SW-11,Routine Follow-Up,Church,Cruz (Parent); Mendoza (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Neutral,False,False,Follow-up scheduled,Inconclusive
3307,145,2024-07-11,SW-05,Routine Follow-Up,School,Santos (Parent); Santos (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Neutral,False,False,,Favorable
3308,145,2024-08-01,SW-04,Routine Follow-Up,Proposed Foster Home,None,Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,True,True,Follow-up scheduled,Unfavorable
3309,145,2024-08-08,SW-09,Routine Follow-Up,Proposed Foster Home,None,Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Highly Cooperative,True,False,Follow-up scheduled,Favorable
3310,145,2024-08-28,SW-05,Reintegration Assessment,Church,Reyes (Parent); Diaz (Sibling),Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Neutral,False,False,Follow-up scheduled,Favorable
3311,145,2024-08-29,SW-06,Routine Follow-Up,Community Center,Cruz (Parent); Mendoza (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,True,False,Follow-up scheduled,Favorable
3312,145,2024-09-17,SW-05,Routine Follow-Up,Proposed Foster Home,None,Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Neutral,True,True,,Needs Improvement
3313,145,2024-09-19,SW-02,Routine Follow-Up,School,None,Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Highly Cooperative,True,True,Follow-up scheduled,Needs Improvement
3314,145,2024-10-13,SW-02,Initial Assessment,Barangay Office,None,Visitation for initial assessment,Visit observations recorded during initial assessment.,Neutral,True,False,,Inconclusive
3315,145,2024-10-20,SW-10,Initial Assessment,School,Cruz (Parent); Reyes (Sibling),Visitation for initial assessment,Visit observations recorded during initial assessment.,Highly Cooperative,False,True,,Needs Improvement
3316,145,2024-11-23,SW-20,Reintegration Assessment,Proposed Foster Home,Lopez (Parent); Garcia (Sibling),Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Cooperative,False,True,,Needs Improvement
3317,145,2024-11-29,SW-16,Routine Follow-Up,Family Home,Mendoza (Parent); Torres (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Uncooperative,False,False,Follow-up scheduled,Inconclusive
3318,145,2024-11-30,SW-04,Initial Assessment,Family Home,Reyes (Parent); Reyes (Sibling),Visitation for initial assessment,Visit observations recorded during initial assessment.,Cooperative,False,False,,Favorable
3319,145,2024-12-08,SW-10,Routine Follow-Up,Family Home,Lopez (Parent); Reyes (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Uncooperative,True,False,,Inconclusive
3320,145,2025-01-05,SW-01,Post-Placement Monitoring,School,Santos (Parent); Rivera (Sibling),Visitation for post-placement monitoring,Visit observations recorded during post-placement monitoring.,Highly Cooperative,False,False,,Inconclusive
3321,145,2025-01-08,SW-19,Routine Follow-Up,Community Center,Torres (Parent); Garcia (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,False,True,,Needs Improvement
3322,145,2025-01-09,SW-14,Routine Follow-Up,Community Center,Cruz (Parent); Santos (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,False,False,,Favorable
3323,145,2025-01-25,SW-15,Routine Follow-Up,Proposed Foster Home,Rivera (Parent); Torres (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Uncooperative,True,False,,Inconclusive
3324,145,2025-04-19,SW-15,Emergency,School,Lopez (Parent); Santos (Sibling),Visitation for emergency,Visit observations recorded during emergency.,Highly Cooperative,True,False,Follow-up scheduled,Inconclusive
3325,145,2025-05-31,SW-15,Reintegration Assessment,Community Center,Cruz (Parent); Lopez (Sibling),Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Cooperative,False,True,,Unfavorable
3326,145,2025-06-01,SW-04,Initial Assessment,School,Flores (Parent); Flores (Sibling),Visitation for initial assessment,Visit observations recorded during initial assessment.,Cooperative,False,False,Follow-up scheduled,Favorable
3327,145,2025-06-09,SW-18,Post-Placement Monitoring,Family Home,None,Visitation for post-placement monitoring,Visit observations recorded during post-placement monitoring.,Uncooperative,True,True,,Unfavorable
3328,145,2025-06-29,SW-09,Routine Follow-Up,Barangay Office,Rivera (Parent); Reyes (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,False,False,Follow-up scheduled,Inconclusive
3329,145,2025-07-06,SW-18,Initial Assessment,Barangay Office,None,Visitation for initial assessment,Visit observations recorded during initial assessment.,Cooperative,True,True,Follow-up scheduled,Needs Improvement
3330,145,2025-07-26,SW-15,Initial Assessment,Family Home,Lopez (Parent); Diaz (Sibling),Visitation for initial assessment,Visit observations recorded during initial assessment.,Cooperative,False,True,Follow-up scheduled,Needs Improvement
3331,145,2025-08-01,SW-15,Routine Follow-Up,Church,None,Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Highly Cooperative,False,False,,Favorable
3332,145,2025-08-02,SW-08,Reintegration Assessment,Community Center,Cruz (Parent); Rivera (Sibling),Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Cooperative,True,False,Follow-up scheduled,Inconclusive
3333,145,2025-08-03,SW-15,Emergency,Community Center,Lopez (Parent); Garcia (Sibling),Visitation for emergency,Visit observations recorded during emergency.,Highly Cooperative,False,False,Follow-up scheduled,Favorable
3334,145,2025-08-28,SW-12,Routine Follow-Up,Community Center,Cruz (Parent); Santos (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,False,False,Follow-up scheduled,Favorable
3335,145,2025-09-03,SW-14,Routine Follow-Up,School,Garcia (Parent); Lopez (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Highly Cooperative,False,True,Follow-up scheduled,Unfavorable
3336,145,2025-09-14,SW-02,Routine Follow-Up,Barangay Office,Torres (Parent); Lopez (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,False,True,Follow-up scheduled,Unfavorable
3337,145,2025-10-03,SW-19,Post-Placement Monitoring,Proposed Foster Home,None,Visitation for post-placement monitoring,Visit observations recorded during post-placement monitoring.,Cooperative,False,False,,Inconclusive
